MODL DM01AVBE11LV95D;MODL MD01MOBE11MN95F
TABL ProjGrundstueck;TABL ImmeubleProj
TABL ProjGrundstueckPos;TABL PosImmeubleProj
TABL ProjGrundstueckPosUP2;TABL PosImmeubleProjUP2
TABL ProjGrundstueckPosUP5;TABL PosImmeubleProjUP5
TABL ProjLiegenschaft;TABL Bien_fondsProj
TABL ProjLiegenschaft_Geometrie;TABL Bien_fondsProj_Geometrie
TABL TeilProjLSPos;TABL PosPartieBFProj
TABL TeilProjLSPosUP2;TABL PosPartieBFProjUP2
TABL TeilProjLSPosUP5;TABL PosPartieBFProjUP5
TABL ProjSelbstRecht;TABL DDPProj
TABL ProjSelbstRecht_Geometrie;TABL DDPProj_Geometrie
TABL TeilProjSRPos;TABL PosPartieDDPProj
TABL TeilProjSRPosUP2;TABL PosPartieDDPProjUP2
TABL TeilProjSRPosUP5;TABL PosPartieDDPProjUP5
TABL ProjBergwerk;TABL MineProj
TABL ProjBergwerk_Geometrie;TABL MineProj_Geometrie
TABL Grundstueck;TABL Immeuble
TABL GrundstueckPos;TABL PosImmeuble
TABL GrundstueckPosUP2;TABL PosImmeubleUP2
TABL GrundstueckPosUP5;TABL PosImmeubleUP5
TABL Liegenschaft_Geometrie;TABL Bien_fonds_Geometrie
TABL Liegenschaft;TABL Bien_fonds
TABL TeilLSPos;TABL PosPartieBF
TABL TeilLSPosUP2;TABL PosPartieBFUP2
TABL TeilLSPosUP5;TABL PosPartieBFUP5
TABL SelbstRecht;TABL DDP
TABL SelbstRecht_Geometrie;TABL DDP_Geometrie
TABL TeilSRPos;TABL PosPartieDDP
TABL TeilSRPosUP2;TABL PosPartieDDPUP2
TABL TeilSRPosUP5;TABL PosPartieDDPUP5
TABL Bergwerk;TABL Mine
TABL Bergwerk_Geometrie;TABL Mine_Geometrie
TOPI Rohrleitungen;TOPI Conduites
TABL RLNachfuehrung;TABL Mise_a_jourCO
TABL RLNachfuehrung_Perimeter;TABL Mise_a_jourCO_Perimetre
TABL Leitungsobjekt;TABL Element_conduite
TABL LeitungsobjektPos;TABL PosElement_conduite
TABL LeitungsobjektPosUP2;TABL PosElement_conduiteUP2
TABL LeitungsobjektPosUP5;TABL PosElement_conduiteUP5
TABL Flaechenelement;TABL Element_surfacique
TABL Flaechenelement_Geometrie;TABL Element_surfacique_Geometrie
TABL Linienelement;TABL Element_lineaire
TABL Punktelement;TABL Element_ponctuel
TABL Signalpunkt;TABL Signal
TABL SignalpunktPos;TABL PosSignal
TABL Einzelpunkt;TABL Point_particulier
TABL EinzelpunktPos;TABL PosPoint_particulier
TOPI Nummerierungsbereiche;TOPI Domaines_numerotation
TABL Nummerierungsbereich;TABL Domaine_numerotation
TABL NBGeometrie;TABL GeometrieDN
TABL NBGeometrie_Geometrie;TABL GeometrieDN_Geometrie
TABL NummerierungsbereichPos;TABL PosDomaine_numerotation
TOPI Gemeindegrenzen;TOPI Limites_commune
TABL GEMNachfuehrung;TABL Mise_a_jourCOM
TABL GEMNachfuehrung_Perimeter;TABL Mise_a_jourCOM_Perimetre
TABL Hoheitsgrenzpunkt;TABL Point_limite_ter
TABL HoheitsgrenzpunktPos;TABL PosPoint_limite_ter
TABL HoheitsgrenzpunktSymbol;TABL SymbolePoint_limite_ter
TABL Gemeinde;TABL Commune
TABL ProjGemeindegrenze;TABL Limite_communeProj
TABL Gemeindegrenze_Geometrie;TABL Limite_commune_Geometrie
TABL Gemeindegrenze;TABL Limite_commune
TOPI Bezirksgrenzen;TOPI Limites_district
TABL Bezirksgrenzabschnitt;TABL Partie_limite_district
TOPI Kantonsgrenzen;TOPI Limites_canton
TABL Kantonsgrenzabschnitt;TABL Partie_limite_canton
TOPI Landesgrenzen;TOPI Limites_nationales
TABL Landesgrenzabschnitt;TABL Partie_limite_nationale
TOPI Planeinteilungen;TOPI Repartitions_plans
TABL Plan;TABL Plan
TABL Plangeometrie_Geometrie;TABL Geometrie_plan_Geometrie
TABL Plangeometrie;TABL Geometrie_plan
TABL PlanPos;TABL Posplan
TOPI TSEinteilung;TOPI RepartitionNT
TABL Toleranzstufe_Geometrie;TABL Niveau_tolerance_Geometrie
TABL Toleranzstufe;TABL Niveau_tolerance
TABL ToleranzstufePos;TABL PosNiveau_tolerance
TOPI Rutschgebiete;TOPI Zones_glissement
TABL Rutschung;TABL Glissement
TABL Rutschung_Geometrie;TABL Glissement_Geometrie
TABL RutschungPos;TABL PosGlissement
TOPI PLZOrtschaft;TOPI NPA_Localite
TABL OSNachfuehrung;TABL Mise_a_jourLoc
TABL OSNachfuehrung_Perimeter;TABL Mise_a_jourLoc_Perimetre
TABL OrtschaftsVerbund;TABL Groupement_de_Localite
TABL OrtschaftsVerbundText;TABL Texte_Groupement_de_Localite
TABL Ortschaft;TABL Localite
TABL Ortschaft_Flaeche;TABL Localite_Geometrie
TABL OrtschaftsName;TABL Nom_localite
TABL OrtschaftsName_Pos;TABL PosNom_localite
TABL OrtschaftsName_PosUP2;TABL PosNom_localiteUP2
TABL OrtschaftsName_PosUP5;TABL PosNom_localiteUP5
TABL PLZ6Nachfuehrung;TABL Mise_a_jourNPA6
TABL PLZ6Nachfuehrung_Perimeter;TABL Mise_a_jourNPA6_Perimetre
TABL PLZ6;TABL NPA6
TABL PLZ6_Flaeche;TABL NPA6_Geometrie
TOPI Gebaeudeadressen;TOPI Adresses_des_batiments
TABL GEBNachfuehrung;TABL Mise_a_jourBAT
TABL GEBNachfuehrung_Perimeter;TABL Mise_a_jourBAT_Perimetre
TABL Lokalisation;TABL Localisation
TABL LokalisationsName;TABL Nom_localisation
TABL LokalisationsNamePos;TABL PosNom_localisation
TABL LokalisationsNamePosUP2;TABL PosNom_localisationUP2
TABL LokalisationsNamePosUP5;TABL PosNom_localisationUP5
